script_name,point_index,axis,v_percent,a_percent,t_rel_sec,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg
x_calibrate,10,x,45,100,0.4000487710000016,-121.63677978515625,-450.0183410644531,499.9701843261719,-169.9003143310547,-0.008694224059581757,171.99171447753906
x_calibrate,10,x,45,100,0.4101076459992328,-124.26892852783203,-450.0180969238281,499.97174072265625,-169.90054321289062,-0.008672293275594711,171.99195861816406
x_calibrate,10,x,45,100,0.420035322997137,-130.14320373535156,-450.0215148925781,499.9726257324219,-169.900390625,-0.008497092872858047,171.9917449951172
x_calibrate,10,x,45,100,0.4300454650001484,-133.38751220703125,-450.02337646484375,499.9763488769531,-169.89979553222656,-0.00885275099426508,171.9926300048828
x_calibrate,10,x,45,100,0.4400497759997961,-138.6624755859375,-450.0235290527344,499.9775390625,-169.89942932128906,-0.009097215719521046,171.9922637939453
x_calibrate,10,x,45,100,0.4500549489966943,-142.45278930664062,-450.01837158203125,499.9764709472656,-169.8997039794922,-0.009608360007405281,171.99180603027344
x_calibrate,10,x,45,100,0.46002857299754396,-150.67788696289062,-450.0181579589844,499.9779968261719,-169.8992919921875,-0.010441022925078869,171.99172973632812
x_calibrate,10,x,45,100,0.47002531999896746,-155.09165954589844,-450.02203369140625,499.9757995605469,-169.8990936279297,-0.010499563068151474,171.99290466308594
x_calibrate,10,x,45,100,0.4800718109981972,-159.71856689453125,-450.0198974609375,499.9725036621094,-169.89883422851562,-0.010704640299081802,171.99269104003906
x_calibrate,10,x,45,100,0.49002840199682396,-162.1106719970703,-450.01690673828125,499.9701232910156,-169.8988494873047,-0.010736369527876377,171.99227905273438
x_calibrate,10,x,45,100,0.5000603059961577,-167.039306640625,-450.0130615234375,499.97198486328125,-169.8988800048828,-0.010832954198122025,171.99087524414062
x_calibrate,10,x,45,100,0.5100547479960369,-177.44041442871094,-450.00372314453125,499.9623718261719,-169.90066528320312,-0.010388684459030628,171.9904327392578
x_calibrate,10,x,45,100,0.5200553129980108,-185.7014617919922,-450.00762939453125,499.9710388183594,-169.9008331298828,-0.010616053827106953,171.9914093017578
x_calibrate,10,x,45,100,0.5300608859979548,-191.42662048339844,-450.00726318359375,499.98516845703125,-169.89971923828125,-0.011820675805211067,171.9906768798828
x_calibrate,10,x,45,100,0.5400399200007087,-197.30479431152344,-450.006591796875,499.9911193847656,-169.89886474609375,-0.012211376801133156,171.98971557617188
x_calibrate,10,x,45,100,0.5500378590004402,-209.4681854248047,-449.9983825683594,499.9771423339844,-169.89939880371094,-0.011791744269430637,171.9885711669922
x_calibrate,10,x,45,100,0.5600620179975522,-215.73663330078125,-449.9906005859375,499.9566345214844,-169.90101623535156,-0.010793781839311123,171.9882049560547
x_calibrate,10,x,45,100,0.5700607589969877,-222.11363220214844,-449.98626708984375,499.9407653808594,-169.9025421142578,-0.009505653753876686,171.9887237548828
x_calibrate,10,x,45,100,0.5800319179979851,-228.61709594726562,-449.9832458496094,499.94549560546875,-169.90187072753906,-0.010030359961092472,171.98777770996094
x_calibrate,10,x,45,100,0.5900428219974856,-235.21612548828125,-449.98583984375,499.9610900878906,-169.90109252929688,-0.010436031967401505,171.98765563964844
x_calibrate,10,x,45,100,0.6000842229987029,-248.67135620117188,-449.9814147949219,499.9761657714844,-169.8995819091797,-0.011316864751279354,171.98602294921875
x_calibrate,10,x,45,100,0.6100388409977313,-255.4925537109375,-449.97869873046875,499.96038818359375,-169.90069580078125,-0.01001005619764328,171.9866485595703
